0,1,2,3,4,5,6,7,8,9
Losing Isaiah (1995),Lassie (1994),Children of the Corn IV: The Gathering (1996),I'm the One That I Want (2000),Hangar 18 (1980),Galaxy of Terror (Quest) (1981),Android (1982),Alien Contamination (1980),Safety Last! (1923),Troll 2 (1990)
"Wild Bunch, The (1969)",She's the One (1996),"Wings of Desire (Himmel über Berlin, Der) (1987)",Night on Earth (1991),"Sweet Hereafter, The (1997)","Red Violin, The (Violon rouge, Le) (1998)",Sullivan's Travels (1941),"Omega Man, The (1971)",Creature Comforts (1989),Troll 2 (1990)
Eat Drink Man Woman (Yin shi nan nu) (1994),Barbarella (1968),"Adventures of Robin Hood, The (1938)","Wings of Desire (Himmel über Berlin, Der) (1987)",Shadow of a Doubt (1943),"General, The (1926)",Before Night Falls (2000),Witness for the Prosecution (1957),Flickering Lights (Blinkende lygter) (2000),Presumed Innocent (1990)
Lesson Faust (1994),"Assignment, The (1997)",Mephisto (1981),Elling (2001),Knockin' on Heaven's Door (1997),Eddie Izzard: Dress to Kill (1999),Incendies (2010),"Separation, A (Jodaeiye Nader az Simin) (2011)",Wild Tales (2014),Planet Earth II (2016)
Far From Home: The Adventures of Yellow Dog (1995),Lassie (1994),It's My Party (1996),Children of the Corn IV: The Gathering (1996),"Conformist, The (Conformista, Il) (1970)",Under the Sand (2000),Safety Last! (1923),"Holy Mountain, The (Montaña sagrada, La) (1973)",The Godfather Trilogy: 1972-1990 (1992),Black Mirror: White Christmas (2014)
Party Girl (1995),It's My Party (1996),Children of the Corn IV: The Gathering (1996),Kolya (Kolja) (1996),I'm the One That I Want (2000),"Chorus Line, A (1985)","Aguirre: The Wrath of God (Aguirre, der Zorn Gottes) (1972)",Safety Last! (1923),"Topo, El (1970)","Holy Mountain, The (Montaña sagrada, La) (1973)"
Lamerica (1994),It's My Party (1996),I'm the One That I Want (2000),Thief (1981),"Trial, The (Procès, Le) (1962)",My Sassy Girl (Yeopgijeogin geunyeo) (2001),Strictly Sexual (2008),Gentlemen of Fortune (Dzhentlmeny udachi) (1972),Dylan Moran: Monster (2004),Bill Hicks: Revelations (1993)
It's My Party (1996),Lesson Faust (1994),"Assignment, The (1997)",Bent (1997),Mephisto (1981),I'm the One That I Want (2000),Thief (1981),My Sassy Girl (Yeopgijeogin geunyeo) (2001),Dylan Moran: Monster (2004),Bill Hicks: Revelations (1993)
Fresh (1994),It's My Party (1996),Before Night Falls (2000),Under the Sand (2000),American: The Bill Hicks Story (2009),"Separation, A (Jodaeiye Nader az Simin) (2011)",Dylan Moran: Monster (2004),Bill Hicks: Revelations (1993),Planet Earth II (2016),Black Mirror: White Christmas (2014)
Living in Oblivion (1995),Party Girl (1995),Once Were Warriors (1994),Beautiful Thing (1996),Afterglow (1997),Saboteur (1942),I'm the One That I Want (2000),L.I.E. (2001),Goal! The Dream Begins (Goal!) (2005),The Jinx: The Life and Deaths of Robert Durst (2015)
It's My Party (1996),Lesson Faust (1994),"Assignment, The (1997)",Afterglow (1997),Mephisto (1981),I'm the One That I Want (2000),My Sassy Girl (Yeopgijeogin geunyeo) (2001),Strictly Sexual (2008),Dylan Moran: Monster (2004),Bill Hicks: Revelations (1993)
Roommates (1995),Fresh (1994),For Roseanna (Roseanna's Grave) (1997),Them! (1954),The Hunger (1983),Before Night Falls (2000),Thief (1981),Strictly Sexual (2008),"Nut Job, The (2014)",Band of Brothers (2001)
Fresh (1994),Under the Sand (2000),Elling (2001),Safety Last! (1923),"Holy Mountain, The (Montaña sagrada, La) (1973)",Troll 2 (1990),Incendies (2010),Dylan Moran: Monster (2004),Samsara (2011),Black Mirror
"Pompatus of Love, The (1996)",Children of the Corn IV: The Gathering (1996),Lesson Faust (1994),Under the Sand (2000),Safety Last! (1923),"Holy Mountain, The (Montaña sagrada, La) (1973)",Troll 2 (1990),Before Midnight (2013),Band of Brothers (2001),The Godfather Trilogy: 1972-1990 (1992)
